map
	ez_tower
end

value
	18.361,-81.949,1.837,-15.057,23.300,-171.650,0.000,-3.749,1.050,-33.180,0,0,0,1,0,1,
	18.365,-81.949,1.837,-15.057,23.300,-172.200,0.000,-3.749,1.050,-33.180,0,0,0,1,0,1,
	18.369,-81.949,1.837,-15.057,23.300,-172.600,0.000,-3.749,1.050,-33.180,0,0,0,1,0,1,
	18.373,-81.949,1.837,-15.057,23.350,-173.450,0.000,-3.749,1.050,-33.180,0,0,0,1,0,1,
	18.379,-81.949,1.837,-15.057,23.350,-174.150,0.000,-3.749,1.050,-33.180,0,0,0,1,0,1,
	18.382,-81.989,1.852,-15.724,23.350,-174.700,0.000,-2.010,0.730,-33.359,0,0,0,1,0,1,
	18.387,-81.989,1.852,-15.724,23.400,-175.350,0.000,-2.010,0.730,-33.359,0,0,0,1,0,1,
	18.392,-81.989,1.852,-15.724,23.400,-176.200,0.000,-2.010,0.730,-33.359,0,0,0,1,0,1,
	18.396,-81.989,1.852,-15.724,23.400,-176.750,0.000,-2.010,0.730,-33.359,0,0,0,1,0,1,
	18.400,-81.989,1.852,-15.724,23.400,-177.350,0.000,-2.010,0.730,-33.359,0,0,0,1,0,1,
	18.404,-81.992,1.860,-16.393,23.400,-177.900,0.000,-0.146,0.410,-33.445,0,0,0,1,0,1,
	18.410,-81.992,1.860,-16.393,23.400,-178.800,0.000,-0.146,0.410,-33.445,0,0,0,1,0,1,
	18.413,-81.992,1.860,-16.393,23.450,-179.400,0.000,-0.146,0.410,-33.445,0,0,0,1,0,1,
	18.417,-81.992,1.860,-16.393,23.450,-180.000,0.000,-0.146,0.410,-33.445,0,0,0,1,0,1,
	18.421,-81.964,1.862,-17.062,23.450,-180.600,0.000,1.400,0.090,-33.445,0,0,0,1,0,1,
	18.426,-81.964,1.862,-17.062,23.450,-181.200,0.000,1.400,0.090,-33.445,0,0,0,1,0,1,
	18.429,-81.964,1.862,-17.062,23.450,-181.950,0.000,1.400,0.090,-33.445,0,0,0,1,0,1,
	18.437,-81.964,1.862,-17.062,23.450,-183.000,0.000,1.400,0.090,-33.445,0,0,0,1,0,1,
	18.440,-81.964,1.862,-17.062,23.450,-183.600,0.000,1.400,0.090,-33.445,0,0,0,1,0,1,
	18.444,-81.894,1.857,-17.728,23.450,-184.400,0.000,3.499,-0.230,-33.313,0,0,0,1,0,1,
	18.449,-81.894,1.857,-17.728,23.450,-185.150,0.000,3.499,-0.230,-33.313,0,0,0,1,0,1,
	18.453,-81.894,1.857,-17.728,23.450,-185.750,0.000,3.499,-0.230,-33.313,0,0,0,1,0,1,
	18.457,-81.894,1.857,-17.728,23.500,-186.350,0.000,3.499,-0.230,-33.313,0,0,0,1,0,1,
	18.461,-81.792,1.846,-18.390,23.500,-186.950,0.000,5.096,-0.550,-33.135,0,0,0,1,0,1,
	18.465,-81.792,1.846,-18.390,23.500,-187.700,0.000,5.096,-0.550,-33.135,0,0,0,1,0,1,
	18.469,-81.792,1.846,-18.390,23.500,-188.250,0.000,5.096,-0.550,-33.135,0,0,0,1,0,1,
	18.473,-81.792,1.846,-18.390,23.500,-188.650,0.000,5.096,-0.550,-33.135,0,0,0,1,0,1,
	18.477,-81.792,1.846,-18.390,23.500,-189.350,0.000,5.096,-0.550,-33.135,0,0,0,1,0,1,
	18.481,-81.655,1.829,-19.047,23.500,-190.050,0.000,6.828,-0.870,-32.850,0,0,0,1,0,1,
	18.485,-81.655,1.829,-19.047,23.500,-190.550,0.000,6.828,-0.870,-32.850,0,0,0,1,0,1,
	18.489,-81.655,1.829,-19.047,23.500,-191.050,0.000,6.828,-0.870,-32.850,0,0,0,1,0,1,
	18.493,-81.655,1.829,-19.047,23.500,-191.550,0.000,6.828,-0.870,-32.850,0,0,0,1,0,1,
	18.497,-81.655,1.829,-19.047,23.500,-192.000,0.000,6.828,-0.870,-32.850,0,0,0,1,0,1,
	18.503,-81.488,1.805,-19.698,23.500,-192.800,0.000,8.345,-1.190,-32.527,0,0,0,1,0,1,
	18.507,-81.488,1.805,-19.698,23.500,-193.200,0.000,8.345,-1.190,-32.527,0,0,0,1,0,1,
	18.512,-81.488,1.805,-19.698,23.500,-193.700,0.000,8.345,-1.190,-32.527,0,0,0,1,0,1,
	18.516,-81.488,1.805,-19.698,23.500,-194.100,0.000,8.345,-1.190,-32.527,0,0,0,1,0,1,
	18.522,-81.298,1.775,-20.343,23.500,-194.650,0.000,9.539,-1.510,-32.228,0,0,0,1,0,1,
	18.529,-81.298,1.775,-20.343,23.500,-195.150,0.000,9.539,-1.510,-32.228,0,0,0,1,0,1,
	18.532,-81.298,1.775,-20.343,23.500,-195.450,0.000,9.539,-1.510,-32.228,0,0,0,1,0,1,
	18.537,-81.298,1.775,-20.343,23.500,-195.750,0.000,9.539,-1.510,-32.228,0,0,0,1,0,1,
	18.542,-81.088,1.738,-20.982,23.500,-196.050,0.000,10.470,-1.830,-31.965,0,0,0,1,0,1,
	18.547,-81.088,1.738,-20.982,23.500,-196.350,0.000,10.470,-1.830,-31.965,0,0,0,1,0,1,
	18.552,-81.088,1.738,-20.982,23.550,-196.550,0.000,10.470,-1.830,-31.965,0,0,0,1,0,1,
	18.556,-81.088,1.738,-20.982,23.550,-196.750,0.000,10.470,-1.830,-31.965,0,0,0,1,0,1,
	18.560,-81.088,1.738,-20.982,23.550,-196.950,0.000,10.470,-1.830,-31.965,0,0,0,1,0,1,
	18.564,-80.865,1.695,-21.617,23.550,-197.050,0.000,11.143,-2.150,-31.760,0,0,0,1,0,1,
	18.568,-80.865,1.695,-21.617,23.550,-197.150,0.000,11.143,-2.150,-31.760,0,0,0,1,0,1,
	18.572,-80.865,1.695,-21.617,23.550,-197.250,0.000,11.143,-2.150,-31.760,0,0,0,1,0,1,
	18.576,-80.865,1.695,-21.617,23.550,-197.300,0.000,11.143,-2.150,-31.760,0,0,0,0,0,1,
	18.584,-80.642,1.646,-22.252,23.550,-197.350,0.000,11.143,-2.470,-31.760,0,0,0,0,0,1,
	18.588,-80.642,1.646,-22.252,23.550,-197.350,0.000,11.143,-2.470,-31.760,0,0,1,0,0,1,
	18.595,-80.642,1.646,-22.252,23.550,-197.350,0.000,11.143,-2.470,-31.760,0,0,1,0,0,1,
	18.599,-80.642,1.646,-22.252,23.600,-197.350,0.000,11.143,-2.470,-31.760,0,0,1,0,0,1,
	18.603,-80.469,1.590,-22.903,23.600,-197.300,0.000,8.695,-2.790,-32.525,0,0,1,0,0,1,
	18.609,-80.469,1.590,-22.903,23.600,-197.200,0.000,8.695,-2.790,-32.525,0,0,1,0,0,1,
	18.613,-80.469,1.590,-22.903,23.600,-197.100,0.000,8.695,-2.790,-32.525,0,0,1,0,0,1,
	18.618,-80.469,1.590,-22.903,23.600,-197.000,0.000,8.695,-2.790,-32.525,0,0,1,0,0,1,
	18.622,-80.299,1.528,-23.554,23.600,-196.850,0.000,8.498,-3.110,-32.585,0,0,1,0,0,1,
	18.627,-80.299,1.528,-23.554,23.600,-196.650,0.000,8.498,-3.110,-32.585,0,0,1,0,0,1,
	18.631,-80.299,1.528,-23.554,23.650,-196.400,0.000,8.498,-3.110,-32.585,0,0,1,0,0,1,
	18.635,-80.299,1.528,-23.554,23.650,-196.250,0.000,8.498,-3.110,-32.585,0,0,1,0,0,1,
	18.638,-80.299,1.528,-23.554,23.650,-196.050,0.000,8.498,-3.110,-32.585,0,0,1,0,0,1,
	18.644,-80.139,1.459,-24.209,23.650,-195.700,0.000,7.962,-3.430,-32.739,0,0,1,0,0,1,
	18.649,-80.139,1.459,-24.209,23.650,-195.400,0.000,7.962,-3.430,-32.739,0,0,1,0,0,1,
	18.655,-80.139,1.459,-24.209,23.650,-195.000,0.000,7.962,-3.430,-32.739,0,0,1,0,0,1,
	18.658,-80.139,1.459,-24.209,23.650,-194.700,0.000,7.962,-3.430,-32.739,0,0,1,0,0,1,
	18.662,-79.995,1.384,-24.868,23.650,-194.450,0.000,7.195,-3.750,-32.940,0,0,1,0,0,1,
	18.667,-79.995,1.384,-24.868,23.700,-194.000,0.000,7.195,-3.750,-32.940,0,0,1,0,0,1,
	18.672,-79.995,1.384,-24.868,23.700,-193.500,0.000,7.195,-3.750,-32.940,0,0,1,0,0,1,
	18.676,-79.995,1.384,-24.868,23.700,-193.100,0.000,7.195,-3.750,-32.940,0,0,1,0,0,1,
	18.680,-79.995,1.384,-24.868,23.700,-192.750,0.000,7.195,-3.750,-32.940,0,0,1,0,0,1,
	18.685,-79.874,1.303,-25.532,23.750,-192.250,0.000,6.076,-4.070,-33.194,0,0,1,0,0,1,
	18.690,-79.874,1.303,-25.532,23.750,-191.700,0.000,6.076,-4.070,-33.194,0,0,1,0,0,1,
	18.693,-79.874,1.303,-25.532,23.750,-191.200,0.000,6.076,-4.070,-33.194,0,0,1,0,0,1,
	18.696,-79.874,1.303,-25.532,23.800,-190.750,0.000,6.076,-4.070,-33.194,0,0,1,0,0,1,
	18.700,-79.874,1.303,-25.532,23.800,-190.250,0.000,6.076,-4.070,-33.194,0,0,1,0,0,1,
	18.704,-79.781,1.215,-26.201,23.850,-189.850,0.000,4.627,-4.390,-33.456,0,0,1,0,0,1,
	18.708,-79.781,1.215,-26.201,23.850,-189.300,0.000,4.627,-4.390,-33.456,0,0,1,0,0,1,
	18.714,-79.781,1.215,-26.201,23.900,-188.450,0.000,4.627,-4.390,-33.456,0,0,1,0,0,1,
	18.718,-79.781,1.215,-26.201,23.950,-187.850,0.000,4.627,-4.390,-33.456,0,0,1,0,0,1,
	18.721,-79.717,1.121,-26.874,23.950,-187.200,0.000,3.226,-4.710,-33.649,0,0,1,0,0,1,
	18.729,-79.717,1.121,-26.874,24.050,-185.900,0.000,3.226,-4.710,-33.649,0,0,1,0,0,1,
	18.733,-79.717,1.121,-26.874,24.050,-185.050,0.000,3.226,-4.710,-33.649,0,0,1,0,0,1,
	18.738,-79.717,1.121,-26.874,24.100,-184.350,0.000,3.226,-4.710,-33.649,0,0,1,0,0,1,
	18.741,-79.694,1.020,-27.550,24.100,-183.600,0.000,1.168,-5.030,-33.805,0,0,1,0,0,1,
	18.747,-79.694,1.020,-27.550,24.150,-182.550,0.000,1.168,-5.030,-33.805,0,0,1,0,0,1,
	18.750,-79.694,1.020,-27.550,24.200,-182.050,0.000,1.168,-5.030,-33.805,0,0,1,0,0,1,
	18.754,-79.694,1.020,-27.550,24.200,-181.150,0.000,1.168,-5.030,-33.805,0,0,1,0,0,1,
	18.759,-79.694,1.020,-27.550,24.250,-180.250,0.000,1.168,-5.030,-33.805,0,0,1,0,0,1,
	18.763,-79.719,0.913,-28.226,24.250,-179.700,0.000,-1.252,-5.350,-33.816,0,0,1,0,0,1,
	18.768,-79.719,0.913,-28.226,24.300,-178.800,0.000,-1.252,-5.350,-33.816,0,0,1,0,0,1,
	18.771,-79.719,0.913,-28.226,24.350,-177.900,0.000,-1.252,-5.350,-33.816,0,0,1,0,0,1,
	18.775,-79.719,0.913,-28.226,24.350,-177.200,0.000,-1.252,-5.350,-33.816,0,0,1,0,0,1,
	18.779,-79.719,0.913,-28.226,24.350,-176.650,0.000,-1.252,-5.350,-33.816,0,0,1,0,0,1,
	18.784,-79.786,0.903,-28.900,24.350,-175.800,0.000,-3.374,-0.525,-33.692,0,0,1,0,0,1,
	18.789,-79.786,0.903,-28.900,24.400,-174.700,0.000,-3.374,-0.525,-33.692,0,0,1,0,0,1,
	18.793,-79.786,0.903,-28.900,24.450,-173.800,0.000,-3.374,-0.525,-33.692,0,0,1,0,0,1,
	18.797,-79.786,0.903,-28.900,24.450,-173.100,0.000,-3.374,-0.525,-33.692,0,0,1,0,0,1,
	18.801,-79.786,0.903,-28.900,24.450,-172.550,0.000,-3.374,-0.525,-33.692,0,0,1,0,0,1,
	18.805,-79.902,0.901,-29.568,24.500,-171.850,0.000,-5.776,5.850,-33.378,0,0,1,0,0,1,
	18.810,-79.902,0.901,-29.568,24.500,-170.750,0.000,-5.776,5.850,-33.378,0,0,1,0,0,1,
	18.813,-79.902,0.901,-29.568,24.550,-170.050,0.000,-5.776,5.850,-33.378,0,0,1,0,0,1,
	18.817,-79.902,0.901,-29.568,24.550,-169.300,0.000,-5.776,5.850,-33.378,0,0,1,0,0,1,
	18.821,-79.902,0.901,-29.568,24.550,-168.750,0.000,-5.776,5.850,-33.378,0,0,1,0,0,1,
	18.824,-80.061,1.011,-30.227,24.600,-167.850,0.000,-7.979,5.530,-32.939,0,0,1,0,0,1,
	18.830,-80.061,1.011,-30.227,24.600,-166.950,0.000,-7.979,5.530,-32.939,0,0,1,0,0,1,
	18.833,-80.061,1.011,-30.227,24.650,-166.300,0.000,-7.979,5.530,-32.939,0,0,1,0,0,1,
	18.837,-80.061,1.011,-30.227,24.650,-165.600,0.000,-7.979,5.530,-32.939,0,0,1,0,0,1,
	18.841,-80.061,1.011,-30.227,24.650,-165.050,0.000,-7.979,5.530,-32.939,0,0,1,0,0,1,
	18.846,-80.263,1.115,-30.874,24.650,-164.050,0.000,-10.093,5.210,-32.375,0,0,1,0,0,1,
	18.851,-80.263,1.115,-30.874,24.700,-163.300,0.000,-10.093,5.210,-32.375,0,0,1,0,0,1,
	18.854,-80.263,1.115,-30.874,24.700,-162.650,0.000,-10.093,5.210,-32.375,0,0,1,0,0,1,
	18.858,-80.263,1.115,-30.874,24.700,-162.050,0.000,-10.093,5.210,-32.375,0,0,1,0,0,1,
	18.862,-80.499,1.213,-31.511,24.700,-161.300,0.000,-11.782,4.890,-31.828,0,0,1,0,0,1,
	18.868,-80.499,1.213,-31.511,24.700,-160.450,0.000,-11.782,4.890,-31.828,0,0,1,0,0,1,
	18.872,-80.499,1.213,-31.511,24.700,-159.950,0.000,-11.782,4.890,-31.828,0,0,1,0,0,1,
	18.876,-80.499,1.213,-31.511,24.700,-159.550,0.000,-11.782,4.890,-31.828,0,0,1,0,0,1,
	18.879,-80.499,1.213,-31.511,24.700,-158.950,0.000,-11.782,4.890,-31.828,0,0,1,0,0,1,
	18.883,-80.769,1.305,-32.134,24.700,-158.500,0.000,-13.496,4.570,-31.168,0,0,1,0,0,1,
	18.887,-80.769,1.305,-32.134,24.700,-158.050,0.000,-13.496,4.570,-31.168,0,0,1,0,0,1,
	18.891,-80.769,1.305,-32.134,24.700,-157.700,0.000,-13.496,4.570,-31.168,0,0,1,0,0,1,
	18.894,-80.769,1.305,-32.134,24.700,-157.300,0.000,-13.496,4.570,-31.168,0,0,1,0,0,1,
	18.900,-80.769,1.305,-32.134,24.700,-156.750,0.000,-13.496,4.570,-31.168,0,0,1,0,0,1,
	18.904,-81.062,1.390,-32.747,24.650,-156.400,0.000,-14.694,4.250,-30.654,0,0,1,0,0,1,
	18.909,-81.062,1.390,-32.747,24.650,-155.950,0.000,-14.694,4.250,-30.654,0,0,1,0,0,1,
	18.913,-81.062,1.390,-32.747,24.650,-155.600,0.000,-14.694,4.250,-30.654,0,0,1,0,0,1,
	18.916,-81.062,1.390,-32.747,24.650,-155.200,0.000,-14.694,4.250,-30.654,0,0,1,0,0,1,
	18.920,-81.062,1.390,-32.747,24.650,-154.950,0.000,-14.694,4.250,-30.654,0,0,1,0,0,1,
	18.924,-81.376,1.468,-33.351,24.650,-154.650,0.000,-15.661,3.930,-30.202,0,0,1,0,0,1,
	18.928,-81.376,1.468,-33.351,24.650,-154.400,0.000,-15.661,3.930,-30.202,0,0,1,0,0,1,
	18.934,-81.376,1.468,-33.351,24.650,-154.050,0.000,-15.661,3.930,-30.202,0,0,1,0,0,1,
	18.938,-81.376,1.468,-33.351,24.650,-153.900,0.000,-15.661,3.930,-30.202,0,0,1,0,0,1,
	18.942,-81.700,1.540,-33.950,24.650,-153.750,0.000,-16.220,3.610,-29.928,0,0,1,0,0,1,
	18.947,-81.700,1.540,-33.950,24.650,-153.600,0.000,-16.220,3.610,-29.928,0,0,1,0,0,1,
	18.952,-81.700,1.540,-33.950,24.650,-153.450,0.000,-16.220,3.610,-29.928,0,0,1,0,0,1,
	18.956,-81.700,1.540,-33.950,24.650,-153.400,0.000,-16.220,3.610,-29.928,0,0,1,0,0,1,
	18.959,-81.700,1.540,-33.950,24.650,-153.400,0.000,-16.220,3.610,-29.928,0,0,1,0,0,1,
	18.962,-82.030,1.606,-34.546,24.650,-153.400,0.000,-16.486,3.290,-29.795,0,0,0,0,0,1,
	18.971,-82.030,1.606,-34.546,24.650,-153.400,0.000,-16.486,3.290,-29.795,0,0,0,1,0,1,
	18.977,-82.030,1.606,-34.546,24.650,-153.400,0.000,-16.486,3.290,-29.795,0,0,0,1,0,1,
	18.981,-82.030,1.606,-34.546,24.650,-153.400,0.000,-16.486,3.290,-29.795,0,0,0,1,0,1,
	18.984,-82.309,1.666,-35.167,24.650,-153.400,0.000,-13.982,2.970,-31.048,0,0,0,1,0,1,
	18.987,-82.309,1.666,-35.167,24.650,-153.400,0.000,-13.982,2.970,-31.048,0,0,0,1,0,1,
	18.990,-82.309,1.666,-35.167,24.650,-153.400,0.000,-13.982,2.970,-31.048,0,0,0,1,0,1,
	18.993,-82.309,1.666,-35.167,24.650,-153.400,0.000,-13.982,2.970,-31.048,0,0,0,1,0,1,
	18.997,-82.309,1.666,-35.167,24.650,-153.400,0.000,-13.982,2.970,-31.048,0,0,0,1,0,1,
	19.001,-82.309,1.666,-35.167,24.650,-153.450,0.000,-13.982,2.970,-31.048,0,0,0,1,0,1,
	19.005,-82.589,1.719,-35.788,24.650,-153.500,0.000,-13.955,2.650,-31.062,0,0,0,1,0,1,
	19.009,-82.589,1.719,-35.788,24.650,-153.550,0.000,-13.955,2.650,-31.062,0,0,0,1,0,1,
	19.012,-82.589,1.719,-35.788,24.650,-153.550,0.000,-13.955,2.650,-31.062,0,0,0,1,0,1,
	19.016,-82.589,1.719,-35.788,24.650,-153.600,0.000,-13.955,2.650,-31.062,0,0,0,1,0,1,
	19.019,-82.589,1.719,-35.788,24.650,-153.600,0.000,-13.955,2.650,-31.062,0,0,0,1,0,1,
	19.023,-82.866,1.765,-36.410,24.650,-153.650,0.000,-13.876,2.330,-31.101,0,0,0,1,0,1,
	19.028,-82.866,1.765,-36.410,24.650,-153.700,0.000,-13.876,2.330,-31.101,0,0,0,1,0,1,
	19.032,-82.866,1.765,-36.410,24.650,-153.750,0.000,-13.876,2.330,-31.101,0,0,0,1,0,1,
	19.036,-82.866,1.765,-36.410,24.650,-153.800,0.000,-13.876,2.330,-31.101,0,0,0,1,0,1,
	19.040,-82.866,1.765,-36.410,24.650,-153.850,0.000,-13.876,2.330,-31.101,0,0,0,1,0,1,
