map
	ez_square
end

value
	0.78719,15.90716,2.60560,89.46354,26.15001,192.70000,0.00000,-2.36692,3.29000,-7.67611,0,0,1,0,0,1,
	0.79512,15.84463,2.66500,89.31344,25.70001,195.15000,0.00000,-3.12642,2.97000,-7.50495,0,0,1,0,0,1,
	0.80047,15.84463,2.66500,89.31344,25.45001,196.80000,0.00000,-3.12642,2.97000,-7.50495,0,0,1,0,0,1,
	0.80914,15.77107,2.71800,89.16667,25.05001,199.10000,0.00000,-3.67801,2.65000,-7.33841,0,0,1,0,0,1,
	0.81549,15.77107,2.71800,89.16667,24.75001,201.35000,0.00000,-3.67801,2.65000,-7.33841,0,0,1,0,0,1,
	0.82410,15.77107,2.71800,89.16667,24.45001,203.60000,0.00000,-3.67801,2.65000,-7.33841,0,0,1,0,0,1,
	0.82834,15.77107,2.71800,89.16667,24.25001,205.05000,0.00000,-3.67801,2.65000,-7.33841,0,0,1,0,0,1,
	0.83469,15.67622,2.76460,89.02985,24.10001,206.70000,0.00000,-4.74257,2.33000,-6.84087,0,0,1,0,0,1,
	0.84362,15.67622,2.76460,89.02985,23.85001,209.50000,0.00000,-4.74257,2.33000,-6.84087,0,0,1,0,0,1,
	0.85017,15.57021,2.80480,88.89935,23.75001,211.35000,0.00000,-5.30036,2.01000,-6.52529,0,0,1,0,0,1,
	0.86010,15.57021,2.80480,88.89935,23.65001,214.00000,0.00000,-5.30036,2.01000,-6.52529,0,0,1,0,0,1,
	0.86710,15.57021,2.80480,88.89935,23.60001,215.50000,0.00000,-5.30036,2.01000,-6.52529,0,0,1,0,0,1,
	0.87314,15.44997,2.83860,88.77899,23.60001,216.95000,0.00000,-6.01201,1.69000,-6.01767,0,0,1,0,0,1,
	0.88299,15.44997,2.83860,88.77899,23.60001,219.35000,0.00000,-6.01201,1.69000,-6.01767,0,0,1,0,0,1,
	0.88710,15.44997,2.83860,88.77899,23.65001,220.15000,0.00000,-6.01201,1.69000,-6.01767,0,0,1,0,0,1,
	0.89290,15.31926,2.86600,88.66747,23.75001,221.30000,0.00000,-6.53544,1.37000,-5.57612,0,0,1,0,0,1,
	0.90050,15.31926,2.86600,88.66747,23.85001,222.35000,0.00000,-6.53544,1.37000,-5.57612,0,0,1,0,0,1,
	0.90731,15.31926,2.86600,88.66747,24.10001,223.75000,0.00000,-6.53544,1.37000,-5.57612,0,0,1,0,0,1,
	0.91170,15.18082,2.88700,88.56335,24.25001,224.39990,0.00000,-6.92190,1.05000,-5.20617,0,0,1,0,0,1,
	0.92023,15.18082,2.88700,88.56335,24.55001,225.45000,0.00000,-6.92190,1.05000,-5.20617,0,0,0,0,0,1,
	0.92980,15.04239,2.90160,88.45922,25.00001,226.25000,0.00000,-6.92190,0.73000,-5.20617,0,0,0,1,0,1,
	0.94267,15.04239,2.90160,88.45922,25.65001,226.80000,0.00000,-6.92190,0.73000,-5.20617,0,0,0,1,0,1,
	0.95508,14.93603,2.90980,88.32094,26.40001,227.05000,0.00000,-5.31784,0.41000,-6.91432,0,0,0,1,0,1,
	0.96032,14.93603,2.90980,88.32094,26.70001,227.05000,0.00000,-5.31784,0.41000,-6.91432,0,0,0,1,0,1,
	0.96734,14.93603,2.90980,88.32094,27.10001,227.05000,0.00000,-5.31784,0.41000,-6.91432,0,0,0,1,0,1,
	0.97190,14.82967,2.91160,88.18266,27.45000,226.90000,0.00000,-5.31784,0.09000,-6.91432,0,0,0,1,0,1,
