map
	ez_stream
end

value
	0.17207,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.17521,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.17832,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.18108,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.18421,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.18768,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.19023,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.19296,0.00000,0.90000,-5.00000,0.10000,0.35000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.19779,0.00000,0.90000,-5.00000,0.15000,0.30000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.20227,0.00000,0.90000,-5.00000,0.20000,0.30000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.20831,0.00000,0.90000,-5.00000,0.30000,0.20000,0.00000,0.00000,0.00000,0.00000,0,0,0,0,0,0,
	0.21473,0.00000,0.90000,-5.00000,0.40000,0.10000,0.00000,0.00000,0.00000,0.00000,1,0,0,0,0,0,
	0.22215,0.00000,0.90000,-5.00000,0.60000,359.95000,0.00000,0.00000,0.00000,0.00000,1,0,0,0,0,0,
	0.22628,0.00000,0.90000,-5.00000,0.70000,359.85000,0.00000,0.00000,0.00000,0.00000,1,0,0,0,0,0,
	0.23126,0.00000,0.90000,-5.00000,0.85000,359.70000,0.00000,0.00000,0.00000,0.00000,1,0,0,0,0,0,
	0.24104,-0.00014,0.90000,-4.97400,1.15000,359.40000,0.00000,-0.00681,0.00000,1.29998,1,0,0,0,0,0,
	0.25386,-0.00045,0.90000,-4.94000,1.75000,358.90000,0.00000,-0.01571,0.00000,1.69992,1,0,0,0,0,0,
	0.26033,-0.00045,0.90000,-4.94000,2.00000,358.65000,0.00000,-0.01571,0.00000,1.69992,1,0,0,0,0,0,
	0.26986,-0.00045,0.90000,-4.94000,2.55000,358.20000,0.00000,-0.01571,0.00000,1.69992,1,0,0,0,0,0,
	0.27573,-0.00141,0.90000,-4.89802,2.90000,357.90000,0.00000,-0.04823,0.00000,2.09932,1,0,0,0,0,0,
	0.28887,-0.00141,0.90000,-4.89802,3.65000,357.25000,0.00000,-0.04823,0.00000,2.09932,1,0,0,0,0,0,
	0.29293,-0.00321,0.90000,-4.84805,3.90000,357.05000,0.00000,-0.08993,0.00000,2.49806,1,0,0,0,0,0,
	0.29713,-0.00321,0.90000,-4.84805,4.15000,356.90000,0.00000,-0.08993,0.00000,2.49806,1,0,0,0,0,0,
