map
	ez_stream
end

value
	21.38554,-38.61671,-108.70740,-180.69270,12.15004,182.75100,0.00000,-3.36181,-1.28541,-43.15348,0,0,1,0,0,0,
	21.38841,-38.61671,-108.70740,-180.69270,12.15004,182.75100,0.00000,-3.36181,-1.28541,-43.15348,0,0,1,0,0,0,
	21.39146,-38.61671,-108.70740,-180.69270,12.15004,182.75100,0.00000,-3.36181,-1.28541,-43.15348,0,0,1,0,0,0,
	21.39413,-38.68621,-108.73950,-181.55570,12.15004,182.75100,0.00000,-3.47494,-1.60541,-43.14804,0,0,1,0,0,0,
	21.39722,-38.68621,-108.73950,-181.55570,12.15004,182.75100,0.00000,-3.47494,-1.60541,-43.14804,0,0,1,0,0,0,
	21.40117,-38.68621,-108.73950,-181.55570,12.15004,182.75100,0.00000,-3.47494,-1.60541,-43.14804,0,0,1,0,0,0,
	21.40494,-38.68621,-108.73950,-181.55570,12.15004,182.75100,0.00000,-3.47494,-1.60541,-43.14804,0,0,1,0,0,0,
	21.40796,-38.68621,-108.73950,-181.55570,12.15004,182.75100,0.00000,-3.47494,-1.60541,-43.14804,0,0,1,0,0,0,
	21.41071,-38.68621,-108.73950,-181.55570,12.15004,182.75100,0.00000,-3.47494,-1.60541,-43.14804,0,0,1,0,0,0,
	21.41359,-38.75571,-108.77800,-182.41870,12.15004,182.75100,0.00000,-3.47494,-1.92541,-43.14804,0,0,1,0,0,0,
	21.41732,-38.75571,-108.77800,-182.41870,12.15004,182.75100,0.00000,-3.47494,-1.92541,-43.14804,0,0,1,0,0,0,
	21.42069,-38.75571,-108.77800,-182.41870,12.15004,182.75100,0.00000,-3.47494,-1.92541,-43.14804,0,0,1,0,0,0,
	21.42371,-38.75571,-108.77800,-182.41870,12.15004,182.75100,0.00000,-3.47494,-1.92541,-43.14804,0,0,1,0,0,0,
	21.42641,-38.75571,-108.77800,-182.41870,12.15004,182.75100,0.00000,-3.47494,-1.92541,-43.14804,0,0,1,0,0,0,
	21.42903,-38.75571,-108.77800,-182.41870,12.15004,182.75100,0.00000,-3.47494,-1.92541,-43.14804,0,0,1,0,0,0,
	21.43251,-38.75571,-108.77800,-182.41870,12.15004,182.75100,0.00000,-3.47494,-1.92541,-43.14804,0,0,0,0,0,0,
	21.43795,-38.82521,-108.82290,-183.28160,12.15004,182.75100,0.00000,-3.47494,-2.24541,-43.14804,0,0,0,0,0,0,
	21.44157,-38.82521,-108.82290,-183.28160,12.15004,182.75100,0.00000,-3.47494,-2.24541,-43.14804,0,0,0,0,0,0,
	21.44453,-38.82521,-108.82290,-183.28160,12.15004,182.75100,0.00000,-3.47494,-2.24541,-43.14804,0,0,0,0,0,0,
	21.44744,-38.82521,-108.82290,-183.28160,12.15004,182.75100,0.00000,-3.47494,-2.24541,-43.14804,0,0,0,0,0,0,
	21.45109,-38.82521,-108.82290,-183.28160,12.15004,182.75100,0.00000,-3.47494,-2.24541,-43.14804,0,0,0,0,0,0,
	21.45453,-38.89471,-108.87420,-184.14460,12.15004,182.75100,0.00000,-3.47494,-2.56541,-43.14804,0,0,0,0,0,0,
	21.45757,-38.89471,-108.87420,-184.14460,12.15004,182.75100,0.00000,-3.47494,-2.56541,-43.14804,0,0,0,0,0,0,
	21.46007,-38.89471,-108.87420,-184.14460,12.15004,182.75100,0.00000,-3.47494,-2.56541,-43.14804,0,0,0,0,0,0,
	21.46374,-38.89471,-108.87420,-184.14460,12.15004,182.75100,0.00000,-3.47494,-2.56541,-43.14804,0,0,0,1,0,0,
	21.46954,-38.89471,-108.87420,-184.14460,12.15004,182.75100,0.00000,-3.47494,-2.56541,-43.14804,0,0,0,1,0,0,
	21.47234,-38.89471,-108.87420,-184.14460,12.15004,182.75100,0.00000,-3.47494,-2.56541,-43.14804,0,0,0,1,0,0,
	21.47506,-38.90828,-108.93190,-185.01020,12.15004,182.75100,0.00000,-0.67817,-2.88541,-43.28243,0,0,0,1,0,0,
	21.47808,-38.90828,-108.93190,-185.01020,12.15004,182.75100,0.00000,-0.67817,-2.88541,-43.28243,0,0,0,1,0,0,
	21.48073,-38.90828,-108.93190,-185.01020,12.15004,182.75100,0.00000,-0.67817,-2.88541,-43.28243,0,0,0,1,0,0,
	21.48424,-38.90828,-108.93190,-185.01020,12.15004,182.75100,0.00000,-0.67817,-2.88541,-43.28243,0,0,0,1,0,0,
	21.48727,-38.90828,-108.93190,-185.01020,12.15004,182.75100,0.00000,-0.67817,-2.88541,-43.28243,0,0,0,1,0,0,
	21.49132,-38.90828,-108.93190,-185.01020,12.15004,182.70100,0.00000,-0.67817,-2.88541,-43.28243,0,0,0,1,0,0,
	21.49395,-38.92109,-108.99600,-185.87590,12.15004,182.70100,0.00000,-0.64045,-3.20541,-43.28421,0,0,0,1,0,0,
	21.49689,-38.92109,-108.99600,-185.87590,12.15004,182.70100,0.00000,-0.64045,-3.20541,-43.28421,0,0,0,1,0,0,
	21.50136,-38.92109,-108.99600,-185.87590,12.15004,182.70100,0.00000,-0.64045,-3.20541,-43.28421,0,0,0,1,0,0,
	21.50447,-38.92109,-108.99600,-185.87590,12.15004,182.70100,0.00000,-0.64045,-3.20541,-43.28421,0,0,0,1,0,0,
	21.50772,-38.92109,-108.99600,-185.87590,12.15004,182.70100,0.00000,-0.64045,-3.20541,-43.28421,0,0,0,1,0,0,
	21.51220,-38.92109,-108.99600,-185.87590,12.20004,182.65100,0.00000,-0.64045,-3.20541,-43.28421,0,0,0,1,0,0,
	21.51490,-38.93314,-109.06650,-186.74160,12.20004,182.65100,0.00000,-0.60274,-3.52541,-43.28596,0,0,0,1,0,0,
	21.52076,-38.93314,-109.06650,-186.74160,12.20004,182.60100,0.00000,-0.60274,-3.52541,-43.28596,0,0,0,1,0,0,
	21.52479,-38.93314,-109.06650,-186.74160,12.25004,182.60100,0.00000,-0.60274,-3.52541,-43.28596,0,0,0,1,0,0,
	21.52974,-38.93314,-109.06650,-186.74160,12.25004,182.55110,0.00000,-0.60274,-3.52541,-43.28596,0,0,0,1,0,0,
	21.53397,-38.94369,-109.14350,-187.60740,12.30004,182.50110,0.00000,-0.52734,-3.84541,-43.28932,0,0,0,1,0,0,
	21.54070,-38.94369,-109.14350,-187.60740,12.30004,182.40110,0.00000,-0.52734,-3.84541,-43.28932,0,0,0,1,0,0,
	21.54523,-38.94369,-109.14350,-187.60740,12.35004,182.35110,0.00000,-0.52734,-3.84541,-43.28932,0,0,0,1,0,0,
	21.54950,-38.94369,-109.14350,-187.60740,12.35004,182.25120,0.00000,-0.52734,-3.84541,-43.28932,0,0,0,1,0,0,
	21.55329,-38.94971,-109.22680,-188.47340,12.40004,182.20120,0.00000,-0.30099,-4.16541,-43.29822,0,0,0,1,0,0,
	21.55711,-38.94971,-109.22680,-188.47340,12.40004,182.15120,0.00000,-0.30099,-4.16541,-43.29822,0,0,0,1,0,0,
	21.56202,-38.94971,-109.22680,-188.47340,12.40004,182.05120,0.00000,-0.30099,-4.16541,-43.29822,0,0,0,1,0,0,
	21.56744,-38.94971,-109.22680,-188.47340,12.45004,181.95120,0.00000,-0.30099,-4.16541,-43.29822,0,0,0,1,0,0,
	21.57100,-38.94971,-109.22680,-188.47340,12.45004,181.90120,0.00000,-0.30099,-4.16541,-43.29822,0,0,0,1,0,0,
	21.57448,-38.95045,-109.31650,-189.33950,12.45004,181.85120,0.00000,-0.03681,-4.48541,-43.30699,0,0,0,1,0,0,
	21.57892,-38.95045,-109.31650,-189.33950,12.45004,181.80130,0.00000,-0.03681,-4.48541,-43.30699,0,0,0,1,0,0,
	21.58349,-38.95045,-109.31650,-189.33950,12.50004,181.70130,0.00000,-0.03681,-4.48541,-43.30699,0,0,0,1,0,0,
	21.58644,-38.95045,-109.31650,-189.33950,12.50004,181.70130,0.00000,-0.03681,-4.48541,-43.30699,0,0,0,1,0,0,
	21.59085,-38.95045,-109.31650,-189.33950,12.50004,181.65130,0.00000,-0.03681,-4.48541,-43.30699,0,0,0,1,0,0,
	21.59515,-38.94741,-109.41260,-190.20570,12.50004,181.60130,0.00000,0.15192,-4.80541,-43.31243,0,0,0,1,0,0,
	21.59808,-38.94741,-109.41260,-190.20570,12.50004,181.60130,0.00000,0.15192,-4.80541,-43.31243,0,0,0,1,0,0,
	21.60296,-38.94741,-109.41260,-190.20570,12.50004,181.55130,0.00000,0.15192,-4.80541,-43.31243,0,0,0,1,0,0,
	21.60830,-38.94741,-109.41260,-190.20570,12.50004,181.50130,0.00000,0.15192,-4.80541,-43.31243,0,0,0,1,0,0,
	21.61191,-38.94741,-109.41260,-190.20570,12.55004,181.50130,0.00000,0.15192,-4.80541,-43.31243,0,0,0,1,0,0,
	21.61458,-38.94210,-109.51510,-191.07210,12.55004,181.50130,0.00000,0.26523,-5.12541,-43.31540,0,0,0,1,0,0,
	21.61973,-38.94210,-109.51510,-191.07210,12.55004,181.45130,0.00000,0.26523,-5.12541,-43.31540,0,0,0,1,0,0,
	21.62272,-38.94210,-109.51510,-191.07210,12.55004,181.45130,0.00000,0.26523,-5.12541,-43.31540,0,0,0,1,0,0,
	21.62531,-38.94210,-109.51510,-191.07210,12.55004,181.45130,0.00000,0.26523,-5.12541,-43.31540,0,0,0,1,0,0,
	21.62801,-38.94210,-109.51510,-191.07210,12.55004,181.45130,0.00000,0.26523,-5.12541,-43.31540,0,0,0,1,0,0,
	21.63167,-38.94210,-109.51510,-191.07210,12.55004,181.40130,0.00000,0.26523,-5.12541,-43.31540,0,0,0,1,0,0,
	21.64129,-38.93528,-109.62400,-191.93840,12.60004,181.35140,0.00000,0.34075,-5.44541,-43.31724,0,0,0,1,0,0,
	21.64453,-38.93528,-109.62400,-191.93840,12.60004,181.35140,0.00000,0.34075,-5.44541,-43.31724,0,0,0,1,0,0,
	21.64741,-38.93528,-109.62400,-191.93840,12.60004,181.35140,0.00000,0.34075,-5.44541,-43.31724,0,0,0,1,0,0,
	21.65427,-38.92772,-109.73930,-192.80480,12.65004,181.30140,0.00000,0.37850,-5.76541,-43.31813,0,0,0,1,0,0,
	21.65875,-38.92772,-109.73930,-192.80480,12.65004,181.25140,0.00000,0.37850,-5.76541,-43.31813,0,0,0,1,0,0,
	21.66429,-38.92772,-109.73930,-192.80480,12.70004,181.20140,0.00000,0.37850,-5.76541,-43.31813,0,0,0,1,0,0,
	21.66998,-38.92772,-109.73930,-192.80480,12.70004,181.15140,0.00000,0.37850,-5.76541,-43.31813,0,0,0,1,0,0,
	21.67459,-38.91712,-109.86100,-193.67120,12.75004,181.10140,0.00000,0.52960,-6.08541,-43.32117,0,0,0,1,0,0,
	21.67797,-38.91712,-109.86100,-193.67120,12.75004,181.10140,0.00000,0.52960,-6.08541,-43.32117,0,0,0,1,0,0,
	21.68184,-38.91712,-109.86100,-193.67120,12.75004,181.05150,0.00000,0.52960,-6.08541,-43.32117,0,0,0,1,0,0,
	21.68643,-38.91712,-109.86100,-193.67120,12.80004,181.00150,0.00000,0.52960,-6.08541,-43.32117,0,0,0,1,0,0,
	21.68978,-38.91712,-109.86100,-193.67120,12.80004,180.95150,0.00000,0.52960,-6.08541,-43.32117,0,0,0,1,0,0,
	21.69337,-38.90351,-109.98910,-194.53770,12.80004,180.90150,0.00000,0.68069,-6.40541,-43.32368,0,0,0,1,0,0,
	21.69721,-38.90351,-109.98910,-194.53770,12.85004,180.85150,0.00000,0.68069,-6.40541,-43.32368,0,0,0,1,0,0,
	21.70089,-38.90351,-109.98910,-194.53770,12.85004,180.85150,0.00000,0.68069,-6.40541,-43.32368,0,0,0,1,0,0,
	21.70619,-38.90351,-109.98910,-194.53770,12.85004,180.75150,0.00000,0.68069,-6.40541,-43.32368,0,0,0,1,0,0,
	21.70962,-38.90351,-109.98910,-194.53770,12.90004,180.70150,0.00000,0.68069,-6.40541,-43.32368,0,0,0,1,0,0,
	21.71228,-38.90351,-109.98910,-194.53770,12.90004,180.70150,0.00000,0.68069,-6.40541,-43.32368,0,0,0,1,0,0,
	21.71682,-38.88612,-110.12360,-195.40420,12.90004,180.65150,0.00000,0.86959,-6.72541,-43.32599,0,0,0,1,0,0,
	21.72223,-38.88612,-110.12360,-195.40420,12.90004,180.60150,0.00000,0.86959,-6.72541,-43.32599,0,0,0,1,0,0,
	21.72638,-38.88612,-110.12360,-195.40420,12.95004,180.50150,0.00000,0.86959,-6.72541,-43.32599,0,0,0,1,0,0,
	21.72919,-38.88612,-110.12360,-195.40420,12.95004,180.50150,0.00000,0.86959,-6.72541,-43.32599,0,0,0,1,0,0,
	21.73373,-38.86570,-110.26450,-196.27070,12.95004,180.45160,0.00000,1.02077,-7.04541,-43.32731,0,0,0,1,0,0,
	21.73705,-38.86570,-110.26450,-196.27070,12.95004,180.45160,0.00000,1.02077,-7.04541,-43.32731,0,0,0,1,0,0,
	21.74188,-38.86570,-110.26450,-196.27070,12.95004,180.40160,0.00000,1.02077,-7.04541,-43.32731,0,0,0,1,0,0,
	21.74854,-38.86570,-110.26450,-196.27070,13.00004,180.35160,0.00000,1.02077,-7.04541,-43.32731,0,0,0,1,0,0,
	21.75366,-38.84302,-110.41180,-197.13730,13.00004,180.30160,0.00000,1.13413,-7.36541,-43.32801,0,0,0,1,0,0,
	21.75725,-38.84302,-110.41180,-197.13730,13.00004,180.30160,0.00000,1.13413,-7.36541,-43.32801,0,0,0,1,0,0,
	21.76242,-38.84302,-110.41180,-197.13730,13.00004,180.25160,0.00000,1.13413,-7.36541,-43.32801,0,0,0,1,0,0,
	21.76658,-38.84302,-110.41180,-197.13730,13.05004,180.25160,0.00000,1.13413,-7.36541,-43.32801,0,0,0,1,0,0,
	21.77087,-38.84302,-110.41180,-197.13730,13.05004,180.20170,0.00000,1.13413,-7.36541,-43.32801,0,0,0,1,0,0,
	21.77369,-38.81807,-110.56560,-198.00380,13.05004,180.20170,0.00000,1.24750,-7.68541,-43.32841,0,0,0,1,0,0,
	21.77842,-38.81807,-110.56560,-198.00380,13.05004,180.15170,0.00000,1.24750,-7.68541,-43.32841,0,0,0,1,0,0,
	21.78183,-38.81807,-110.56560,-198.00380,13.05004,180.10170,0.00000,1.24750,-7.68541,-43.32841,0,0,0,1,0,0,
	21.78677,-38.81807,-110.56560,-198.00380,13.10004,180.05170,0.00000,1.24750,-7.68541,-43.32841,0,0,0,1,0,0,
	21.78957,-38.81807,-110.56560,-198.00380,13.10004,180.05170,0.00000,1.24750,-7.68541,-43.32841,0,0,0,1,0,0,
	21.79529,-38.79085,-110.72570,-198.87040,13.15004,179.95170,0.00000,1.36092,-8.00541,-43.32851,0,0,0,1,0,0,
	21.79937,-38.79085,-110.72570,-198.87040,13.15004,179.90180,0.00000,1.36092,-8.00541,-43.32851,0,0,0,1,0,0,
	21.80390,-38.79085,-110.72570,-198.87040,13.15004,179.80180,0.00000,1.36092,-8.00541,-43.32851,0,0,0,1,0,0,
	21.80792,-38.79085,-110.72570,-198.87040,13.20004,179.75180,0.00000,1.36092,-8.00541,-43.32851,0,0,0,1,0,0,
	21.81236,-38.79085,-110.72570,-198.87040,13.20004,179.65180,0.00000,1.36092,-8.00541,-43.32851,0,0,0,1,0,0,
	21.81733,-38.75758,-110.89220,-199.73700,13.25004,179.55180,0.00000,1.66336,-8.32541,-43.32667,0,0,0,1,0,0,
	21.82217,-38.75758,-110.89220,-199.73700,13.25004,179.45180,0.00000,1.66336,-8.32541,-43.32667,0,0,0,1,0,0,
	21.82612,-38.75758,-110.89220,-199.73700,13.30004,179.35190,0.00000,1.66336,-8.32541,-43.32667,0,0,0,1,0,0,
	21.83077,-38.75758,-110.89220,-199.73700,13.30004,179.25190,0.00000,1.66336,-8.32541,-43.32667,0,0,0,1,0,0,
