map
	ez_tower
end

value
	0.545,74.989,0.900,-73.008,13.500,-1.150,0.000,-0.079,0.000,7.700,1,0,0,0,0,0,
	0.549,74.989,0.900,-73.008,13.650,-1.200,0.000,-0.079,0.000,7.700,1,0,0,0,0,0,
	0.552,74.989,0.900,-73.008,13.850,-1.250,0.000,-0.079,0.000,7.700,1,0,0,0,0,0,
	0.559,74.988,0.900,-72.854,14.200,-1.300,0.000,-0.090,0.000,7.700,1,0,0,0,0,0,
	0.566,74.988,0.900,-72.854,14.500,-1.400,0.000,-0.090,0.000,7.700,1,0,0,0,0,0,
	0.569,74.988,0.900,-72.854,14.700,-1.450,0.000,-0.090,0.000,7.700,1,0,0,0,0,0,
	0.573,74.988,0.900,-72.854,14.850,-1.500,0.000,-0.090,0.000,7.700,1,0,0,0,0,0,
	0.578,74.986,0.900,-72.700,15.050,-1.500,0.000,-0.103,0.000,7.700,1,0,0,0,0,0,
	0.582,74.986,0.900,-72.700,15.250,-1.550,0.000,-0.103,0.000,7.700,1,0,0,0,0,0,
	0.586,74.986,0.900,-72.700,15.450,-1.600,0.000,-0.103,0.000,7.700,1,0,0,0,0,0,
	0.589,74.986,0.900,-72.700,15.600,-1.600,0.000,-0.103,0.000,7.700,1,0,0,0,0,0,
	0.594,74.986,0.900,-72.700,15.800,-1.650,0.000,-0.103,0.000,7.700,1,0,0,0,0,0,
	0.598,74.983,0.900,-72.546,15.950,-1.650,0.000,-0.117,0.000,7.700,1,0,0,0,0,0,
	0.603,74.983,0.900,-72.546,16.200,-1.700,0.000,-0.117,0.000,7.700,1,0,0,0,0,0,
	0.608,74.983,0.900,-72.546,16.400,-1.700,0.000,-0.117,0.000,7.700,1,0,0,0,0,0,
	0.612,74.983,0.900,-72.546,16.550,-1.750,0.000,-0.117,0.000,7.700,1,0,0,0,0,0,
	0.618,74.981,0.900,-72.392,16.800,-1.750,0.000,-0.130,0.000,7.700,1,0,0,0,0,0,
	0.622,74.981,0.900,-72.392,17.000,-1.800,0.000,-0.130,0.000,7.700,1,0,0,0,0,0,
	0.626,74.981,0.900,-72.392,17.150,-1.800,0.000,-0.130,0.000,7.700,1,0,0,0,0,0,
	0.630,74.981,0.900,-72.392,17.300,-1.850,0.000,-0.130,0.000,7.700,1,0,0,0,0,0,
	0.635,74.981,0.900,-72.392,17.500,-1.900,0.000,-0.130,0.000,7.700,1,0,0,0,0,0,
	0.643,74.978,0.900,-72.238,17.850,-1.950,0.000,-0.145,0.000,7.699,1,0,0,0,0,0,
