map
	ez_tower
end

value
	48.458,-77.957,-66.785,28.130,25.700,-614.250,0.000,39.300,-4.390,-9.373,0,0,0,0,0,1,
	48.468,-77.171,-66.879,27.943,25.650,-613.650,0.000,39.300,-4.710,-9.373,0,0,1,0,0,1,
	48.476,-77.171,-66.879,27.943,25.650,-612.750,0.000,39.300,-4.710,-9.373,0,0,1,0,0,1,
	48.480,-77.171,-66.879,27.943,25.650,-612.300,0.000,39.300,-4.710,-9.373,0,0,1,0,0,1,
	48.484,-77.171,-66.879,27.943,25.650,-611.800,0.000,39.300,-4.710,-9.373,0,0,1,0,0,1,
	48.488,-76.415,-66.980,27.665,25.600,-611.400,0.000,37.809,-5.030,-13.905,0,0,1,0,0,1,
	48.492,-76.415,-66.980,27.665,25.600,-610.700,0.000,37.809,-5.030,-13.905,0,0,1,0,0,1,
	48.496,-76.415,-66.980,27.665,25.600,-609.850,0.000,37.809,-5.030,-13.905,0,0,1,0,0,1,
	48.500,-76.415,-66.980,27.665,25.600,-609.300,0.000,37.809,-5.030,-13.905,0,0,1,0,0,1,
	48.503,-76.415,-66.980,27.665,25.600,-608.500,0.000,37.809,-5.030,-13.905,0,0,1,0,0,1,
	48.507,-75.675,-67.087,27.343,25.600,-607.650,0.000,36.959,-5.350,-16.063,0,0,1,0,0,1,
	48.511,-75.675,-67.087,27.343,25.600,-606.500,0.000,36.959,-5.350,-16.063,0,0,1,0,0,1,
	48.515,-75.675,-67.087,27.343,25.600,-605.550,0.000,36.959,-5.350,-16.063,0,0,1,0,0,1,
	48.519,-75.675,-67.087,27.343,25.550,-604.800,0.000,36.959,-5.350,-16.063,0,0,1,0,0,1,
	48.522,-75.675,-67.087,27.343,25.550,-603.750,0.000,36.959,-5.350,-16.063,0,0,1,0,0,1,
	48.526,-74.966,-67.097,26.962,25.550,-602.650,0.000,35.482,-0.525,-19.059,0,0,1,0,0,1,
	48.530,-74.966,-67.097,26.962,25.550,-601.150,0.000,35.482,-0.525,-19.059,0,0,1,0,0,1,
	48.534,-74.966,-67.097,26.962,25.500,-599.950,0.000,35.482,-0.525,-19.059,0,0,1,0,0,1,
	48.538,-74.966,-67.097,26.962,25.500,-599.000,0.000,35.482,-0.525,-19.059,0,0,1,0,0,1,
	48.541,-74.966,-67.097,26.962,25.500,-597.700,0.000,35.482,-0.525,-19.059,0,0,1,0,0,1,
	48.545,-74.301,-67.099,26.509,25.500,-596.350,0.000,33.211,5.850,-22.651,0,0,1,0,0,1,
	48.550,-74.301,-67.099,26.509,25.450,-594.650,0.000,33.211,5.850,-22.651,0,0,1,0,0,1,
	48.553,-74.301,-67.099,26.509,25.450,-593.250,0.000,33.211,5.850,-22.651,0,0,1,0,0,1,
	48.557,-74.301,-67.099,26.509,25.400,-592.150,0.000,33.211,5.850,-22.651,0,0,1,0,0,1,
	48.561,-74.301,-67.099,26.509,25.400,-590.350,0.000,33.211,5.850,-22.651,0,0,1,0,0,1,
	48.565,-74.301,-67.099,26.509,25.350,-588.500,0.000,33.211,5.850,-22.651,0,0,1,0,0,1,
	48.568,-73.723,-66.989,25.960,25.350,-587.350,0.000,28.943,5.530,-27.476,0,0,1,0,0,1,
	48.572,-73.723,-66.989,25.960,25.300,-585.850,0.000,28.943,5.530,-27.476,0,0,1,0,0,1,
	48.576,-73.723,-66.989,25.960,25.250,-584.300,0.000,28.943,5.530,-27.476,0,0,1,0,0,1,
	48.579,-73.723,-66.989,25.960,25.200,-583.150,0.000,28.943,5.530,-27.476,0,0,1,0,0,1,
	48.583,-73.723,-66.989,25.960,25.200,-581.200,0.000,28.943,5.530,-27.476,0,0,1,0,0,1,
	48.587,-73.220,-66.885,25.343,25.150,-579.950,0.000,25.121,5.210,-30.821,0,0,1,0,0,1,
	48.592,-73.220,-66.885,25.343,25.100,-577.950,0.000,25.121,5.210,-30.821,0,0,1,0,0,1,
	48.595,-73.220,-66.885,25.343,25.050,-576.300,0.000,25.121,5.210,-30.821,0,0,1,0,0,1,
