map
	ez_stream
end

value
	0.335,-0.033,0.900,-4.569,11.750,355.050,0.000,-0.331,0.000,4.087,1,0,0,0,0,0,
	0.338,-0.041,0.900,-4.480,11.800,355.050,0.000,-0.371,0.000,4.485,1,0,0,0,0,0,
	0.342,-0.041,0.900,-4.480,11.850,355.050,0.000,-0.371,0.000,4.485,1,0,0,0,0,0,
	0.346,-0.041,0.900,-4.480,11.950,355.000,0.000,-0.371,0.000,4.485,1,0,0,0,0,0,
	0.350,-0.041,0.900,-4.480,12.050,355.000,0.000,-0.371,0.000,4.485,1,0,0,0,0,0,
	0.355,-0.041,0.900,-4.480,12.150,354.950,0.000,-0.371,0.000,4.485,1,0,0,0,0,0,
	0.360,-0.049,0.900,-4.382,12.250,354.950,0.000,-0.411,0.000,4.883,1,0,0,0,0,0,
	0.365,-0.049,0.900,-4.382,12.350,354.900,0.000,-0.411,0.000,4.883,1,0,0,0,0,0,
	0.374,-0.049,0.900,-4.382,12.550,354.850,0.000,-0.411,0.000,4.883,1,0,0,0,0,0,
	0.380,-0.058,0.900,-4.276,12.650,354.850,0.000,-0.452,0.000,5.281,1,0,0,0,0,0,
	0.385,-0.058,0.900,-4.276,12.750,354.800,0.000,-0.452,0.000,5.281,1,0,0,0,0,0,
	0.389,-0.058,0.900,-4.276,12.850,354.800,0.000,-0.452,0.000,5.281,1,0,0,0,0,0,
	0.394,-0.058,0.900,-4.276,12.900,354.750,0.000,-0.452,0.000,5.281,1,0,0,0,0,0,
	0.397,-0.068,0.900,-4.163,13.000,354.750,0.000,-0.494,0.000,5.678,1,0,0,0,0,0,
	0.402,-0.068,0.900,-4.163,13.050,354.750,0.000,-0.494,0.000,5.678,1,0,0,0,0,0,
	0.406,-0.068,0.900,-4.163,13.150,354.700,0.000,-0.494,0.000,5.678,1,0,0,0,0,0,
	0.409,-0.068,0.900,-4.163,13.200,354.700,0.000,-0.494,0.000,5.678,1,0,0,0,0,0,
	0.412,-0.068,0.900,-4.163,13.250,354.700,0.000,-0.494,0.000,5.678,1,0,0,0,0,0,
	0.417,-0.079,0.900,-4.041,13.350,354.700,0.000,-0.536,0.000,6.076,1,0,0,0,0,0,
	0.420,-0.079,0.900,-4.041,13.400,354.650,0.000,-0.536,0.000,6.076,1,0,0,0,0,0,
	0.425,-0.079,0.900,-4.041,13.500,354.650,0.000,-0.536,0.000,6.076,1,0,0,0,0,0,
	0.428,-0.079,0.900,-4.041,13.550,354.650,0.000,-0.536,0.000,6.076,1,0,0,0,0,0,
	0.431,-0.079,0.900,-4.041,13.600,354.650,0.000,-0.536,0.000,6.076,1,0,0,0,0,0,
	0.435,-0.079,0.900,-4.041,13.650,354.600,0.000,-0.536,0.000,6.076,1,0,0,0,0,0,
	0.440,-0.090,0.900,-3.912,13.750,354.600,0.000,-0.580,0.000,6.474,1,0,0,0,0,0,
	0.447,-0.090,0.900,-3.912,13.850,354.550,0.000,-0.580,0.000,6.474,1,0,0,0,0,0,
	0.453,-0.090,0.900,-3.912,13.900,354.550,0.000,-0.580,0.000,6.474,1,0,0,0,0,0,
	0.458,-0.103,0.900,-3.774,14.000,354.500,0.000,-0.623,0.000,6.872,1,0,0,0,0,0,
	0.466,-0.103,0.900,-3.774,14.100,354.500,0.000,-0.623,0.000,6.872,1,0,0,0,0,0,
	0.471,-0.103,0.900,-3.774,14.150,354.500,0.000,-0.623,0.000,6.872,1,0,0,0,0,0,
	0.476,-0.103,0.900,-3.774,14.200,354.450,0.000,-0.623,0.000,6.872,1,0,0,0,0,0,
	0.481,-0.116,0.900,-3.629,14.250,354.450,0.000,-0.667,0.000,7.269,1,0,0,0,0,0,
	0.490,-0.116,0.900,-3.629,14.350,354.400,0.000,-0.667,0.000,7.269,1,0,0,0,0,0,
	0.495,-0.116,0.900,-3.629,14.400,354.400,0.000,-0.667,0.000,7.269,1,0,0,0,0,0,
